date,close,open
11-07-2019,50,3,
11-08-2019,56,2.5,
11-11-2019,48,3,
11-18-2019,43,3,
11-19-2019,25,2.3,
11-21-2019,23,2.3,
11-25-2019,17,2,
11-26-2019,30,3.6,
12-02-2019,22,3,
12-03-2019,24,3,
12-04-2019,17,2.3,
12-05-2019,15,2,
12-10-2019,14,2,
12-11-2019,17,3,
12-12-2019,20,3,
12-15-2019,11,2,
12-16-2019,14,3,
12-17-2019,11,2,
12-18-2019,14,3,
12-19-2019,14,3,
12-22-2019,13,3,
12-23-2019,8,2,
