day,count
12-29-2019,46
01-06-2020,46
01-07-2020,58
01-09-2020,56
01-13-2020,64
01-14-2020,42
01-20-2020,58
01-21-2020,38
01-22-2020,36
01-27-2020,42
01-28-2020,31
01-29-2020,33
02-03-2020,50
02-04-2020,49
02-05-2020,42
02-06-2020,37
02-10-2020,36
02-11-2020,31
02-12-2020,33
02-13-2020,29
02-15-2020,37
02-24-2020,34
02-25-2020,24
02-26-2020,23
03-02-2020,17
03-03-2020,19
03-04-2020,26
03-09-2020,17
03-10-2020,15
03-11-2020,18
03-14-2020,25
