day,count
11-07-2019,50
11-08-2019,56
11-11-2019,48
11-18-2019,43
11-19-2019,25
11-21-2019,23
11-25-2019,17
11-26-2019,30
12-2-2019,22
12-3-2019,24
12-4-2019,17
12-5-2019,15
12-10-2019,14
12-11-2019,17
12-12-2019,20
12-15-2019,11
12-16-2019,14
12-17-2019,11
12-18-2019,14
12-19-2019,14
12-22-2019,13
12-23-2019,8
